Word	Mystery	Romance	Short	Sci	Family	Horror	Thriller	Sport	Crime	Drama	Fantasy	Western	Animation	Music	Adventure	Action	Comedy	Documentary	Musical	Biography	History
beings	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
believe	2	1	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
believes	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1
bella	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
bellas	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
belonged	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
belongs	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
beloved	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
ben	0	0	0	0	0	0	0	0	6	0	1	0	0	0	1	1	0	0	0	0	0
beneath	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bertha	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
best	0	2	0	0	0	0	0	0	3	3	1	0	0	1	0	1	2	0	0	0	0
betrayal	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
betrayed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
better	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
beyond	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
bhaskar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
bicycles	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
big	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
bigger	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
bilbo	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0
bill	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
bin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
biology	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
bipolar	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
birth	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
birthday	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
black	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
blacksmith	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
blade	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
blindfolded	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
blooded	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
blossom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
blue	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
body	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
bond	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
bondurant	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
bones	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
bonham	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
book	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bookie	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
bootlegging	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
borderland	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
borderlines	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
borgens	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
boring	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
